,Unnamed: 0,Conversation,name,Speaker,Transcript,English Translation,LID_tags,Language from LID tool,Type of code-switching,Length of turn,Direction of code-switches,Number of code-switches,Start of code-switches,Length of code-switched segments,Minimum pitch,Maximum pitch,Mean pitch,Std Dev Pitch,Minimum intensity,Maximum intensity,Mean intensity,Std Dev Intensity,Jitter,Shimmer,HNR,Speaking rate
0,18,test_10,test_10_0.wav,MAYA,This is just not done Monisha! Just not done!,This is just not done Monisha! Just not done!,"['EN', 'EN', 'EN', 'EN', 'EN', 'HI', 'OTHER', 'EN', 'EN', 'EN', 'OTHER']",CSW,-1,9,-1,0,-1,-1,120.0047393645492,456.0142533201586,308.43295270181846,72.79891386143527,12.816156733689834,75.50074351952523,63.28971688047381,20.12261366835058,0.0225036776930002,0.1339257647717597,7.598222783441618,2.179176755447942
1,19,test_10,test_10_1.wav,MONISHA,"Hush, mom!","Hush, mom!","['EN', 'OTHER', 'EN', 'OTHER']",EN,-1,2,-1,0,-1,-1,253.9874493395332,333.7314868279253,284.85211811095587,22.267559559093627,14.284033212867458,72.68497825779842,63.83798528624424,23.38915775964455,0.0112511018859401,0.0578061875287697,8.8570645258996,0.8474576271186441
2,20,test_10,test_10_2.wav,MAYA,"Don't you dare hush me! 9 baje shaam ki dinner party mein hume bula ar ke, khud 10:30 baje pohochati ho! Samjhati kya ho tum apne aap ko!?","Don't you dare hush me! After inviting us to the dinner party at 9 o'clock in the evening, you yourself reach at 10:30 o'clock! Who do you think you are!?","['EN', 'EN', 'EN', 'EN', 'EN', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'OTHER', 'HI', 'EN', 'OTHER', 'EN', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,28,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",11,"[6, 9, 11, 14, 15, 17, 19, 21, 22, 24, 25]","[3, 2, 3, 1, 2, 2, 2, 1, 2, 1, 3]",165.6724194932461,425.9876561515267,279.9193905206475,41.43321077915501,13.97375343036071,74.70815636270656,64.27651921351885,18.87589574225963,0.0234837234722914,0.1179071931432771,9.012613216188754,4.7217537942664425
3,21,test_10,test_10_3.wav,MONISHA,"Rule number 16 mom! 9 baje rakhi hui party mein sharp 9 baje sirf middle class log pohochate hai, haath jod ke, ""Aaiye, aaiye!"" kehene ke liye. Khud ki di hui party mein kam se kam ek ghanta late pohochna is a style statement... Rosesh, rule dikhaao na...","Rule number 16 mom! At 9 o'clock we keep the party sharp, at 9 o'clock only middle class people talk, join hands, ""Aaiye, aaiye!"" To say. Arriving at least an hour late at the party I attended is a style statement... Rosesh, show me the rules...","['EN', 'EN', 'EN', 'EN', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'EN', 'EN', 'HI', 'HI', 'EN', 'EN', 'EN', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'OTHER', 'OTHER', 'OTHER', 'HI', 'OTHER', 'OTHER', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'EN', 'EN', 'EN', 'EN', 'OTHER', 'HI', 'OTHER', 'EN', 'HI', 'EN', 'OTHER']",CSW,"I, A",48,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",18,"[5, 8, 9, 10, 12, 14, 17, 30, 31, 33, 34, 37, 38, 39, 43, 44, 45, 46]","[3, 1, 1, 2, 2, 3, 13, 1, 2, 1, 3, 1, 1, 4, 1, 1, 1, 2]",104.71052813992044,582.7486767335974,301.2223989280573,92.90656794032265,13.714773617594217,75.18752339900473,62.81585773100632,17.866380842915596,0.0195659786195089,0.0989506244668238,8.81800427870534,3.931203931203931
4,27,test_113,test_113_1.wav,MONISHA,wo mummy ji pata nahi kahan rakh diya!,"Mom, I don't know where I kept it!","['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1,8,-1,0,-1,-1,171.31448736216657,495.2612517392072,331.8972404208245,82.9971578472729,22.352382582761283,75.49810380572279,66.44487838158936,15.1387616909709,0.0158631229241409,0.0770791189230727,12.548662169207647,3.3057851239669422
5,28,test_113,test_113_2.wav,MAYA,oh my god acha sahil kahan hai,oh my god where is sahil,"['EN', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI']",CSW,I,7,['EN > HI'],1,[3],[4],155.30893818413966,563.6052154595657,264.7872304888718,72.06223945424665,37.31452783563545,78.02457341607804,67.06910081413723,9.777534546652484,0.0213276043651417,0.1025364727238194,10.090264308502556,3.857566765578635
6,29,test_113,test_113_3.wav,MONISHA,wo.. wo bhi pata nahin,I don't know that...that too,"['HI', 'OTHER', 'HI', 'HI', 'HI', 'HI']",HI,-1,5,-1,0,-1,-1,75.22226215191269,594.2062327323403,239.50533330302773,169.32564599891728,15.237244608813292,77.33919613510353,67.06868036612518,13.028884866045894,0.0234915654731082,0.0898906690794511,9.631888327239537,4.597701149425287
7,30,test_113,test_113_4.wav,MAYA,toh tum apne husband ko bhi idhar udhar rakh deti ho,So you keep your husband here too,"['HI', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN']",CSW,I,11,"['HI > EN', 'EN > HI', 'HI > EN']",3,"[3, 5, 10]","[2, 5, 1]",75.24971293248242,599.8665077180733,319.3020246379298,126.45264996033896,13.460284341270402,75.84353424204069,67.81122212188922,13.11991030127115,0.0333170530425405,0.1476517931053107,7.162310125510203,4.823151125401929
8,68,test_130,test_130_0.wav,SHARMAN,Uncle! Kaha chupu!?,Uncle Where should I hide!?,"['EN', 'OTHER', 'HI', 'HI', 'OTHER']",CSW,I,3,['EN > HI'],1,[1],[2],166.07112628166993,590.2090913645462,400.699645944992,135.8739420494035,34.3403037883005,66.39514668140154,54.118479324839214,7.723338208917712,0.0493279555907675,0.2290363184268026,3.512765896255588,4.386008533322725
9,69,test_130,test_130_1.wav,INDRAVARDHAN,"Aray, iss suitcase mein chup jaao, idhar thodi dekhane vaala hai inspector! Aao!","Hey, hide in this suitcase, the inspector is going to look here for a while! Come!","['EN', 'OTHER', 'HI', 'EN', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'OTHER']",CSW,I,13,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",5,"[1, 2, 3, 11, 12]","[1, 1, 8, 1, 1]",122.72306043251706,555.3624547397279,242.7319062835617,95.42379620653207,22.930163162352205,69.97223034379253,56.86216717106013,11.711519120887514,0.032724492969098,0.1702311360455111,5.125468400683322,3.865979381443299
